,Model,Window,Derivative,Preprocessing,variable,Accuracy
260,ET,21,1,msc,split0_test_score,0.525
1852,ET,9,2,snv,split6_test_score,0.575
2404,ET,9,1,snv,split8_test_score,0.6
2340,ET,11,1,raw,split8_test_score,0.5625
1876,ET,9,0,rnv,split6_test_score,0.6125
868,ET,9,0,raw,split3_test_score,0.5125
2348,ET,21,1,raw,split8_test_score,0.525
1356,ET,11,2,rnv,split4_test_score,0.65
860,ET,21,2,msc,split2_test_score,0.4875
1868,ET,21,2,snv,split6_test_score,0.525
2356,ET,9,2,raw,split8_test_score,0.6125
252,ET,11,1,msc,split0_test_score,0.5
852,ET,11,2,msc,split2_test_score,0.45
2364,ET,11,2,raw,split8_test_score,0.5625
844,ET,9,2,msc,split2_test_score,0.5875
1364,ET,21,2,rnv,split4_test_score,0.55
2372,ET,21,2,raw,split8_test_score,0.475
836,ET,21,1,msc,split2_test_score,0.425
188,ET,21,1,rnv,split0_test_score,0.4875
1860,ET,11,2,snv,split6_test_score,0.625
2380,ET,9,0,snv,split8_test_score,0.5625
828,ET,11,1,msc,split2_test_score,0.5
1372,ET,9,0,msc,split4_test_score,0.575
2388,ET,11,0,snv,split8_test_score,0.625
820,ET,9,1,msc,split2_test_score,0.5
764,ET,21,1,rnv,split2_test_score,0.5375
2396,ET,21,0,snv,split8_test_score,0.5125
60,ET,11,2,raw,split0_test_score,0.5625
812,ET,21,0,msc,split2_test_score,0.6125
1380,ET,11,0,msc,split4_test_score,0.6
804,ET,11,0,msc,split2_test_score,0.525
1404,ET,11,1,msc,split4_test_score,0.5625
1412,ET,21,1,msc,split4_test_score,0.6125
2028,ET,11,0,raw,split7_test_score,0.475
1444,ET,9,0,raw,split5_test_score,0.575
1780,ET,9,2,raw,split6_test_score,0.475
668,ET,21,0,snv,split2_test_score,0.6125
2540,ET,21,0,msc,split8_test_score,0.525
276,ET,11,2,msc,split0_test_score,0.4625
1452,ET,11,0,raw,split5_test_score,0.65
660,ET,11,0,snv,split2_test_score,0.5125
2548,ET,9,1,msc,split8_test_score,0.55
1772,ET,21,1,raw,split6_test_score,0.5875
652,ET,9,0,snv,split2_test_score,0.525
2556,ET,11,1,msc,split8_test_score,0.5
1460,ET,21,0,raw,split5_test_score,0.575
644,ET,21,2,raw,split2_test_score,0.5625
676,ET,9,1,snv,split2_test_score,0.55
2564,ET,21,1,msc,split8_test_score,0.525
1764,ET,11,1,raw,split6_test_score,0.6125
2572,ET,9,2,msc,split8_test_score,0.6
1468,ET,9,1,raw,split5_test_score,0.6125
628,ET,9,2,raw,split2_test_score,0.4625
2580,ET,11,2,msc,split8_test_score,0.475
140,ET,21,2,snv,split0_test_score,0.625
620,ET,21,1,raw,split2_test_score,0.55
1756,ET,9,1,raw,split6_test_score,0.6
2588,ET,21,2,msc,split8_test_score,0.575
36,ET,11,1,raw,split0_test_score,0.4625
612,ET,11,1,raw,split2_test_score,0.5
1476,ET,11,1,raw,split5_test_score,0.475
2596,ET,9,0,raw,split9_test_score,0.55
636,ET,11,2,raw,split2_test_score,0.5625
2532,ET,11,0,msc,split8_test_score,0.4875
44,ET,21,1,raw,split0_test_score,0.5875
1788,ET,11,2,raw,split6_test_score,0.475
756,ET,11,1,rnv,split2_test_score,0.5125
1820,ET,21,0,snv,split6_test_score,0.55
2460,ET,11,0,rnv,split8_test_score,0.7
748,ET,9,1,rnv,split2_test_score,0.4625
52,ET,9,2,raw,split0_test_score,0.5375
2468,ET,21,0,rnv,split8_test_score,0.5875
740,ET,21,0,rnv,split2_test_score,0.475
1812,ET,11,0,snv,split6_test_score,0.5625
2476,ET,9,1,rnv,split8_test_score,0.525
732,ET,11,0,rnv,split2_test_score,0.5625
1420,ET,9,2,msc,split4_test_score,0.5875
268,ET,9,2,msc,split0_test_score,0.5625
2484,ET,11,1,rnv,split8_test_score,0.6375
724,ET,9,0,rnv,split2_test_score,0.5
1804,ET,9,0,snv,split6_test_score,0.6
2492,ET,21,1,rnv,split8_test_score,0.55
716,ET,21,2,snv,split2_test_score,0.55
1428,ET,11,2,msc,split4_test_score,0.5625
2500,ET,9,2,rnv,split8_test_score,0.525
708,ET,11,2,snv,split2_test_score,0.5125
180,ET,11,1,rnv,split0_test_score,0.55
700,ET,9,2,snv,split2_test_score,0.45
1796,ET,21,2,raw,split6_test_score,0.6
2508,ET,11,2,rnv,split8_test_score,0.6375
2516,ET,21,2,rnv,split8_test_score,0.55
692,ET,21,1,snv,split2_test_score,0.5
1436,ET,21,2,msc,split4_test_score,0.7
2524,ET,9,0,msc,split8_test_score,0.5875
684,ET,11,1,snv,split2_test_score,0.6375
2452,ET,9,0,rnv,split8_test_score,0.525
1348,ET,9,2,rnv,split4_test_score,0.525
2316,ET,11,0,raw,split8_test_score,0.65
68,ET,21,2,raw,split0_test_score,0.575
1236,ET,11,0,snv,split4_test_score,0.4375
1108,ET,9,1,msc,split3_test_score,0.5
204,ET,11,2,rnv,split0_test_score,0.55
2116,ET,9,1,snv,split7_test_score,0.6
1100,ET,21,0,msc,split3_test_score,0.5875
1244,ET,21,0,snv,split4_test_score,0.575
2124,ET,11,1,snv,split7_test_score,0.525
1092,ET,11,0,msc,split3_test_score,0.5875
1980,ET,11,1,msc,split6_test_score,0.4375
2132,ET,21,1,snv,split7_test_score,0.6
1084,ET,9,0,msc,split3_test_score,0.5875
2140,ET,9,2,snv,split7_test_score,0.525
1076,ET,21,2,rnv,split3_test_score,0.5375
220,ET,9,0,msc,split0_test_score,0.5
1252,ET,9,1,snv,split4_test_score,0.6
1972,ET,9,1,msc,split6_test_score,0.5
2148,ET,11,2,snv,split7_test_score,0.65
1068,ET,11,2,rnv,split3_test_score,0.4875
1964,ET,21,0,msc,split6_test_score,0.475
2156,ET,21,2,snv,split7_test_score,0.5125
1060,ET,9,2,rnv,split3_test_score,0.5125
1260,ET,11,1,snv,split4_test_score,0.5875
2164,ET,9,0,rnv,split7_test_score,0.4875
1052,ET,21,1,rnv,split3_test_score,0.5375
1956,ET,11,0,msc,split6_test_score,0.5375
2172,ET,11,0,rnv,split7_test_score,0.5375
228,ET,11,0,msc,split0_test_score,0.4625
1044,ET,11,1,rnv,split3_test_score,0.4875
